Team,Opponent,Date,Home_Away,Result,Team_Score,Opp_Score
Braves,Rangers,28-Feb,Away,W,10,5
Coconuts,Spicy Meatballs,28-Feb,Away,W,8,4
Coconuts,Aggies,2-Mar,Home,T,9,9
Astros,Missions,28-Feb,Home,T,6,6
Astros,Indians,3-Mar,Home,W,9,5
Diamondbacks,Tigers,28-Feb,Away,W,11,1
Diamondbacks,White Sox,2-Mar,Home,L,3,8
Nationals,Rockies,28-Feb,Away,W,16,2
Nationals,Space Cowboys,2-Mar,Away,W,7,6
Indians,Yankees,28-Feb,Home,L,3,7
Outlaws,Chihuahuas,28-Feb,Away,L,2,11
Outlaws,Colt 45s,2-Mar,Home,L,9,11
Dodgers,Marlins,28-Feb,Away,L,7,10
Dodgers,Party Animals,3-Mar,Away,L,3,9
Giants,Monsters,28-Feb,Home,W,10,5
Hooks,Prospect White,28-Feb,Home,L,2,4
Guardians,Expos,28-Feb,Home,L,4,6
Naturals,Flying Squirrels,28-Feb,Away,W,6,4
Chili Peppers,White Sox,28-Feb,Away,W,8,2
Chili Peppers,Expos,2-Mar,Home,W,10,6
Red Sox,Texas Longhorns,28-Feb,Away,W,10,4
Red Sox,Chicago Cubs,2-Mar,Away,W,16,1
Texas Longhorns,Yard Goats,3-Mar,Away,W,6,5
Yard Goats,Space City,28-Feb,Home,L,4,11
Yard Goats,Bulls,2-Mar,Away,L,9,16
Party Animals,Blue Jays,28-Feb,Away,L,3,7
Chicago Cubs,Bananas,28-Feb,Away,L,1,8
Space City,Bayou City Dodgers,28-Feb,Away,W,11,4
Bayou City Dodgers,Ole Miss Rebels,28-Feb,Away,W,9,6
Bayou City Dodgers,Texas Longhorns,3-Mar,Home,L,5,6
Rockies City Connect,Sod Poodles,28-Feb,Home,W,8,5
Rockies City Connect,Marlins,3-Mar,Home,W,6,4
